InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
575739,23336,EGG FRYING PAN PINK ,1,2011-11-11 09:05:00,4.13,,United Kingdom
552656,22427,ENAMEL FLOWER JUG CREAM,3,2011-05-10 14:46:00,5.95,12712.0,Germany
554099,20972,PINK CREAM FELT CRAFT TRINKET BOX ,24,2011-05-22 13:20:00,1.25,16341.0,United Kingdom
546759,23053,RECYCLED ACAPULCO MAT PINK,2,2011-03-16 13:58:00,8.25,12712.0,Germany
570337,16169E,WRAP 50'S  CHRISTMAS,25,2011-10-10 12:23:00,0.42,16688.0,United Kingdom
563571,23000,TRAVEL CARD WALLET TRANSPORT,2,2011-08-17 14:58:00,0.42,15541.0,United Kingdom
577768,21181,PLEASE ONE PERSON METAL SIGN,4,2011-11-21 15:18:00,4.13,,United Kingdom
577341,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2011-11-18 15:00:00,2.1,16279.0,United Kingdom
538510,20985,HEART CALCULATOR,2,2010-12-12 13:47:00,1.25,18004.0,United Kingdom
579536,22434,BALLOON PUMP WITH 10 BALLOONS,8,2011-11-30 09:53:00,1.95,12957.0,United Kingdom
539039,22899,CHILDREN'S APRON DOLLY GIRL ,6,2010-12-15 15:00:00,2.1,13124.0,United Kingdom
578270,22023,EMPIRE BIRTHDAY CARD,2,2011-11-23 13:39:00,0.83,14096.0,United Kingdom
555535,85099B,JUMBO BAG RED RETROSPOT,10,2011-06-05 12:16:00,2.08,16458.0,United Kingdom
541610,84880,WHITE WIRE EGG HOLDER,17,2011-01-20 10:18:00,4.95,16029.0,United Kingdom
574237,22767,TRIPLE PHOTO FRAME CORNICE ,4,2011-11-03 12:37:00,9.95,15551.0,United Kingdom
547809,21328,BALLOONS  WRITING SET ,1,2011-03-25 13:54:00,1.65,12748.0,United Kingdom
563533,22116,METAL SIGN HIS DINNER IS SERVED,1,2011-08-17 11:14:00,0.79,16241.0,United Kingdom
557892,22501,PICNIC BASKET WICKER LARGE,3,2011-06-23 14:11:00,9.95,14534.0,United Kingdom
